type_from,type_to,inst_from,inst_to,inst_key
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,BNP PARIBAS COLOMBIA CORPORACION FI,BNP PARIBAS COLOMBIA CORPORACION FI,85
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,CORPORACION FINANCIERA  COLOMBIANA,CORPORACION FINANCIERA  COLOMBIANA,86
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,"CORPORACION FINANCIERA DAVIVIE S,A,",CORPORACION FINANCIERA DAVIVIE S.A.,87
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,CORPORACION FINANCIERA DAVIVIE S.A.,CORPORACION FINANCIERA DAVIVIE S.A.,87
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,CORPORACION FINANCIERA GNB SUDAMERi,CORPORACION FINANCIERA GNB SUDAMERi,88
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,JPMORGAN CORPORACION FINACIERA,JPMORGAN CORPORACION FINACIERA,89
"ENTID ADM, REGIMEN SOL PRIMA MEDIA",ADM FONDOS DE PENSIONES Y CESANTIAS,ADMINISTRADORA COLOMBIANA  DE PENSI,COLPENSIONES,90
"ENTID ADM, REGIMEN SOL PRIMA MEDIA",ADM FONDOS DE PENSIONES Y CESANTIAS,CAXDAC,COLPENSIONES,90
ENTID ADM. REGIMEN SOL PRIMA MEDIA,ADM FONDOS DE PENSIONES Y CESANTIAS,ADMINISTRADORA COLOMBIANA  DE PENSI,COLPENSIONES,90
ENTID ADM. REGIMEN SOL PRIMA MEDIA,ADM FONDOS DE PENSIONES Y CESANTIAS,CAXDAC,COLPENSIONES,90
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,AV VILLAS,AV VILLAS,91
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANAGRARIO,BANAGRARIO,92
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"BANCAMIA S,A,",BANCAMIA S.A.,93
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCAMIA S.A.,BANCAMIA S.A.,93
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO DE BOGOTA,BANCO DE BOGOTA,94
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO DE OCCIDENTE,BANCO DE OCCIDENTE,95
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"BANCO FALABELLA S,A,",BANCO FALABELLA S.A.,96
